Company,Carbon_Emissions_Score,Community_Engagement_Score,Cybersecurity_Score,Diversity_Equity_Inclusion_Score,ESG_Disclosure_Score,Energy_Efficiency_Score,Governance_Score,Human_Rights_Score,Labor_Practices_Score,Renewable_Energy_Percentage,Sustainable_Products_Score,Transparency_Score,Waste_Management_Score,Water_Usage
Company_82,55.57,80.1,78.06,55.12,77.27,62.24,87.03,79.52,51.59,23.27,54.68,85.8,56.98,37335.97
Company_90,77.25,54.64,54.84,50.32,84.91,79.46,90.29,67.01,57.77,33.66,97.86,92.37,90.47,11801.59
Company_78,63.23,53.48,83.06,96.11,64.66,72.97,53.94,81.43,94.27,19.23,68.08,88.65,56.24,3129.07
Company_11,92.77,81.75,76.71,91.71,67.76,69.01,58.13,83.51,85.09,7.14,84.18,62.24,72.67,43457.7
Company_60,68.97,60.55,97.15,84.23,88.8,82,92.14,61.45,51.61,26.77,65.77,93.82,77.85,49486.64
Company_41,60.63,68.1,99.87,57.14,87.25,94.23,56.98,76.95,87.35,58.35,71.42,56.92,82.14,25462.33
Company_64,54.55,93.04,50.57,89.6,53.18,55.48,71.11,69.08,99.81,97.11,76.46,86.04,81.37,3308.7
Company_88,94.24,75.38,55.32,64.68,50.16,88.43,57.91,86.1,85.98,76.2,98.59,81.27,67.01,37793.01
Company_82,75.38,99.27,90.34,97.67,95.92,68.7,96.12,79.95,74.43,36.3,55.59,61.97,58.08,10746.64
Company_31,93.9,93.62,71.16,53.46,88.29,54.28,88.03,56.42,73.76,26.51,77.49,60.59,74.3,47400.52
Company_70,87.76,77.7,79.42,83.58,94.98,85.65,68.67,72.57,62.4,2.1,53.2,50.36,69.95,34803.51
Company_91,81.56,73.63,89.23,53.54,83.45,95.27,61.9,60.71,56.62,57.1,96.78,90.37,92.98,12218.15
Company_25,54.72,55.46,59.58,93.19,82.67,67.71,52.71,82.31,53.03,80.06,86.41,76.81,70.56,33290.15
Company_18,71.09,96.32,92.43,72.16,77.52,62.49,93.07,52.53,99.96,96.9,91.8,58.32,96.16,14648.71
