Company,Financial_Instrument,Stock_Exchange,Investment_Amount,Currency,Investment_Date
Company_82,Commitments,NYSE,7441349.95,JPY,2013-03-24
Company_14,Options,NASDAQ,5945875.87,USD,2010-02-07
Company_30,Options,SSE,362706.1,JPY,2021-11-23
Company_70,Bonds,HKEX,4547169.56,AUD,2022-01-25
Company_21,Bonds,ASX,2850926.28,JPY,2022-06-04
Company_12,Bonds,NASDAQ,3653895.87,CAD,2019-05-26
Company_6,Commodities,JPX,1335779.01,CNY,2011-09-10
Company_81,Futures,ASX,5815786.24,EUR,2010-11-08
Company_99,Equities,NASDAQ,8567645.44,EUR,2016-05-15
Company_82,Derivatives,LSE,3764791.57,JPY,2020-05-23
Company_88,Commitments,SSE,6386285.05,JPY,2012-08-13
Company_35,Options,HKEX,6877681.08,USD,2013-01-26
Company_41,Bonds,TSX,755267.19,CAD,2013-11-16
Company_51,Commodities,LSE,2722313.65,JPY,2021-09-18
Company_34,Futures,BSE,8988446.55,CNY,2015-04-05
Company_66,Commodities,NASDAQ,7582243.36,EUR,2012-11-06
Company_88,Bonds,SSE,728924.29,CNY,2019-08-17
Company_33,Options,NYSE,6834805.76,EUR,2020-09-25
Company_35,Derivatives,NASDAQ,3005651.27,GBP,2017-01-24
Company_93,Equities,JPX,7643425.77,EUR,2023-11-10
Company_82,Options,SSE,2069219.91,CAD,2022-03-18
Company_100,Options,NYSE,6029551.39,INR,2010-02-12
Company_40,Fixed Income,NYSE,2484628.77,EUR,2011-12-16
Company_9,Options,LSE,1371075.5,INR,2018-03-09
Company_68,Futures,BSE,9647192.77,JPY,2021-05-13
Company_86,Derivatives,NSE,9006179.44,INR,2011-04-08
Company_9,Derivatives,NYSE,5924256.31,JPY,2019-04-01
Company_10,Swaps,HKEX,767263.25,USD,2023-06-03
Company_66,Fixed Income,TSX,6722880.01,JPY,2018-03-24
Company_74,Futures,NSE,2505672.7,INR,2022-07-07
Company_13,Commitments,BSE,3607545.91,CNY,2017-12-02
Company_87,Commitments,NYSE,4085950.69,CAD,2022-02-08
Company_25,Fixed Income,JPX,4541274.12,CNY,2012-05-15
Company_32,Commitments,NSE,8099420.22,EUR,2010-11-18
Company_2,Commitments,HKEX,1746479.99,INR,2017-04-28
Company_52,Swaps,LSE,3851833.88,CNY,2014-08-10
Company_55,Options,NSE,1632488.57,AUD,2013-01-19
Company_95,Options,NYSE,7504958.05,USD,2010-10-16
Company_65,Options,LSE,663107.84,EUR,2023-03-03
Company_77,Commitments,HKEX,4097377.96,JPY,2019-10-02
Company_80,Commitments,BSE,6607994.33,CAD,2014-04-22
Company_92,Derivatives,HKEX,2729583.67,GBP,2020-11-10
Company_59,Derivatives,NASDAQ,192223.02,EUR,2011-09-07
Company_65,Equities,LSE,9339267.84,EUR,2013-06-10
Company_21,Commodities,JPX,7065045.26,USD,2020-09-10
Company_85,Commitments,LSE,2718212.62,EUR,2021-09-05
Company_35,Equities,SSE,2185233.58,CAD,2013-11-21
Company_34,Options,NSE,2586100.4,USD,2011-11-14
Company_36,Swaps,NYSE,3402209.73,GBP,2020-05-06
Company_95,Commodities,JPX,7086107.72,USD,2011-02-23
Company_20,Options,NYSE,8362490.7,GBP,2016-03-02
Company_40,Derivatives,NYSE,8999353.9,JPY,2020-04-22
Company_14,Derivatives,JPX,8852933.54,CNY,2019-12-05
Company_31,Mortgages,LSE,8826020.43,USD,2012-12-11
Company_53,Fixed Income,TSX,1676058.65,EUR,2016-01-28
Company_61,Fixed Income,HKEX,8184207.4,INR,2015-05-27
Company_30,Fixed Income,NYSE,6634328.51,CNY,2015-05-28
Company_9,Equities,ASX,6450669.21,CNY,2020-09-11
Company_4,Commitments,TSX,1867821.38,AUD,2010-02-20
Company_56,Derivatives,ASX,4420299.45,EUR,2016-10-07
Company_33,Swaps,BSE,116743.65,JPY,2015-07-03
Company_86,Derivatives,SSE,3207764.89,EUR,2021-05-17
Company_40,Bonds,ASX,4083763.83,AUD,2018-03-07
